subject_id,r_score
135932,0.7014433031109141
448347,0.6755522442598212
214423,0.6715028053922256
992774,0.6440706377782778
110411,0.6412793830510619
885975,0.6335268169806054
581349,0.5964652923424777
984472,0.5853038527900748
298051,0.5416359316212351
151223,0.5294471240011459
654754,0.5206876036696184
158540,0.5191700212882291
133827,0.5124946578359415
702133,0.5068152142121318
103414,0.4989188097891289
932554,0.4952347266437419
113619,0.4867610605703103
205725,0.4786517704213702
857263,0.47555813044392836
175439,0.4740422837514192
149539,0.47210643234969674
136833,0.47145767420326523
788876,0.46855033499313015
193239,0.44672412691912194
115320,0.4196012831681471
151627,0.4150064820698123
105115,0.37873430338318737
